protein_hash,n_res_metric,contact_ratio,plddt_std
136ac126e4ee211f05076a7b201ea0cd,303,0.6039603960396039,0.1229004027932817
136ac1627f311f9d25cdad8e6d33f17e,315,0.23809523809523808,0.22587867833518907
136ac39beeaf09cec9cc1e955ac38060,315,0.6952380952380952,0.1076308194296258
136ac3dea29298a9ebb70c0a86412891,317,0.6182965299684543,0.2133437781183951
136ac4d13cbff961985d492ecd7b6a49,316,0.7626582278481012,0.128673467536579
136ac5941813d090a2828f96791396ae,315,0.8031746031746032,0.05983606109286041
136ac5f8859186517e49e74f9ac51f1f,311,0.7234726688102894,0.10006158091718616
136ac6a0fafb6fc6f1f58faf3280e1fe,309,0.7864077669902912,0.12506059075348097
136ac6f79a46aba4fcba60abef53c686,313,0.731629392971246,0.21444477339339846
136ac7435847b5205eaf23548ec70f26,311,0.5466237942122186,0.16502515607381543
136ac7deb8ef62f759e3dc29daa6c240,312,0.8589743589743589,0.11652799196932011
136ac83ef5f327f4546ba2a3bf46c02c,304,0.8651315789473685,0.06376878373964526
136ac89e5b8c2a347011f1de133424e5,304,0.7467105263157895,0.19256000052625513
136ac8a58746568f35ce1519471d56d4,305,0.4,0.07903827052438059
136ac948359d8df5d3a51536652b2557,304,0.7927631578947368,0.09194694705062693
136ac9cb386584fe015fe5881b79df37,318,0.7672955974842768,0.16077779397293748
136ac9e0aea5c03ae493e81a75b8d859,309,0.7411003236245954,0.20399589924842687
136ac9efa37ed9a7d967a1a71776b07e,312,0.782051282051282,0.13368354663481913
136acae319ee30cbcf5ee8aeb764e324,307,0.8306188925081434,0.11295426901487597
136acc66a501795e3bacfbe91b1240eb,316,0.8227848101265823,0.14753176561325124
136acd1809f5f589cc3efa5675d18fa5,311,0.8263665594855305,0.18483417523642304
136acd34bd1ce6f77f3339c4d82fef8f,313,0.5303514376996805,0.04227368846500894
136acd57bd9d9817404811acd5df5d31,303,0.759075907590759,0.11818428230112946
136ace8acc6a2d17f68a44fa88098d23,304,0.805921052631579,0.0763960312862011
136ad01a1cfeb1ec28c0a9a1e9e46bcb,310,0.6419354838709678,0.12461125821979797
136ad01fcd5f4c395f28fd150293ed85,306,0.7941176470588235,0.09080042018636951
136ad09749ad5b91d504a3fc576532d8,316,0.49050632911392406,0.1823277753931028
136ad1feaa2ac2705bb990d225a13fea,304,0.555921052631579,0.20936172360139224
136ad20571101c6b83981998d7a5a4ec,314,0.8726114649681529,0.1344562644271943
136ad262d83ca12fc784eb9f9508f727,304,0.680921052631579,0.18493678406957206
136ad27bf2ce4f1ea2ae4c68df05dcf9,314,0.7643312101910829,0.10651305668286255
136ad3693ebf03ff1732ec774da344cb,308,0.7402597402597403,0.1815058619259501
136ad5527a69e9200348aad401a96a1e,311,0.8135048231511254,0.15988250884622632
136ad76f50fd5fb05a8eb8079dfab02b,304,0.7598684210526315,0.2056881202622044
136ad7ae84f481ba4d7077526e607d88,309,0.9029126213592233,0.08228939946836168
136ad8770bf1f22233298d2a354c8fc4,303,0.735973597359736,0.10646106024856568
136ada4a996199988e6456edcfa5bd8c,305,0.7147540983606557,0.11915960191841998
136adb33e0ebe8064438c8d43416a805,315,0.0,0.09948913223637247
136adbacdfaa72257df8eab779074d05,310,0.7032258064516129,0.2229925243265021
136adbba654eeddd134f5e80134099aa,318,0.8113207547169812,0.20866838480709965
136adc45c734a0fe9734fc9ebd694f30,309,0.7799352750809061,0.14793148213520846
136ade2142687ad6908eea75e504079a,316,0.22468354430379747,0.17376965563488214
136adedf65ab941b1e0f2a183863ceca,316,0.870253164556962,0.06270008573858309
136adfe986fee5c97ceb38936b25e37e,307,0.8371335504885994,0.15692179518233632
136ae0516acc07b982e80d588b0d7e7d,309,0.517799352750809,0.21254252152588915
136ae18bea4b61e12ad676d81b86a1fd,305,0.8459016393442623,0.07428421265089469
136ae2973c47ef4e3539b3f472a2e62e,308,0.8051948051948052,0.15225127471145972
136ae2a18c7113d26ac3a650863784d1,304,0.5460526315789473,0.1568770311381695
136ae2d92f3736cc7cd4004ada123bc9,304,0.5460526315789473,0.24558281078008498
136ae42f06e88ed78f4ddd5e38d1dab0,302,0.7582781456953642,0.1816071799040028
136ae4adadf13dc513f78671bbc642f0,305,0.7016393442622951,0.1785567608087761
136ae5ff046cc9a70101fb7f560d1117,304,0.45723684210526316,0.0789640062151257
136ae7c0007563d3473a15b939999b75,305,0.6983606557377049,0.08729975145652855
136ae7df0547cc235cb181cf883aa3bd,311,0.6366559485530546,0.1376381122174051
136ae85c11e707ad5934a3862500477e,308,0.7987012987012987,0.11341344856426674
136ae85f325d4ae7e821487f730b0ad4,314,0.697452229299363,0.13985526257525593
