protein_hash,seq_len,n_res,n_present_atoms,n_chains,is_monomer,mean_plddt,ptm,blob_bytes
09b90e0d247b8db69ce0b45bc8292a5c,162,162,1352,1,True,0.6793296337127686,0.5265325307846069,10917
09b9181972201af7f79c444cbcf4ccb1,162,162,1264,1,True,0.4716748893260956,0.15504153072834015,10274
09b91dc6e2f797a30cdd36001efd3cf5,162,162,1303,1,True,0.4591262638568878,0.1767512708902359,10612
09b91fce3522ad424c6c2e68cd460241,162,162,1235,1,True,0.7402445077896118,0.7166651487350464,10262
09b92d72055428999659aa302a607fb1,162,162,1223,1,True,0.6036204695701599,0.45566296577453613,10177
09b92e1c221381b273336323ced241b7,162,162,1197,1,True,0.8526813983917236,0.8587428331375122,9734
09b93097535d89738311334934b87199,162,162,1187,1,True,0.7776713371276855,0.68939208984375,9667
09b934ba7fcbb579e544ed6a309c6228,162,162,1215,1,True,0.595477283000946,0.3813227415084839,9884
09b8a005905692d9dc16dd333b59ae9b,163,163,1240,1,True,0.6747710704803467,0.3738529682159424,10180
09b8a3adef3c6aef905f7d1cbd974a71,163,163,1238,1,True,0.7349939942359924,0.4889853596687317,10023
09b8a8d9c3932d0c5c2dc51691663cbd,163,163,1235,1,True,0.7172464728355408,0.6770607233047485,10274
09b8a9672c6943852c85e155df2e7f52,163,163,1337,1,True,0.8719089031219482,0.8558633327484131,10785
09b8aa3a46fd69e7256cbd3393092a23,163,163,1277,1,True,0.7150675058364868,0.4453779458999634,10578
09b8ada6e07778da12b09e063155e496,163,163,1248,1,True,0.29374516010284424,0.1297362744808197,10260
09b8ae1a0129a36798b248548f139cdb,163,163,1302,1,True,0.5882225036621094,0.28420811891555786,10511
09b8b30677747e95b881b36814d5492b,163,163,1278,1,True,0.7903616428375244,0.6672199964523315,10453
09b8c079cddd6936ef9e156437e7109d,163,163,1294,1,True,0.37244346737861633,0.17884312570095062,10550
09b8c0d745f204ed29e3e98b80330f1c,163,163,1255,1,True,0.692533016204834,0.5689377784729004,10310
09b8c8cfb01b74d2f7e6292f2718b407,163,163,1272,1,True,0.8750902414321899,0.8693912625312805,10331
09b8d09f4e6a410c2b962185a43be6d4,163,163,1242,1,True,0.3879278898239136,0.17869268357753754,9950
09b8d357ea1e27151510b4b853aa67c9,163,163,1184,1,True,0.3567512333393097,0.20710676908493042,9769
09b8d81e6c186fb831717e8a7fb68567,163,163,1344,1,True,0.6892798542976379,0.6250496506690979,11002
09b8d9c358cc0b4e69fe5bd544f72e6f,163,163,1308,1,True,0.6063202619552612,0.5345951914787292,10659
